tmp_free,cold_start,agent_memory_avg,function_error,billed_mb_ms,total_network,billed_duration,init_duration,fd_use,tmp_max,used_memory_max,shutdown,agent_memory_max,total_memory,request_id,memory_size,cpu_system_time,insights_duration,version,duration,memory_used,rx_bytes,insight_init_duration,shutdown_reason,tmp_used,tx_bytes,function_name,cpu_user_time,threads_max,fd_max,memory_utilisation,payload
538320896,False,10,,1525248,4614,993,,21,550461440,376,0,10,1536,e5c2935c-d680-48a7-ac59-043ae4d38f70,,80,992,RAM1536,,,108,0,0,12140544,4506,workbench-matmul,700,10,1024,24,{'n': 2410}
538324992,True,9,,3917952,84,3401,,22,550461440,354,0,9,1152,e15622f5-4848-4bbe-8fcb-99c92c8bbf64,,330,3400,RAM1152,,,42,1282,0,12136448,42,workbench-matmul,1920,9,1024,30,{'n': 3210}
538320896,False,11,,19539968,15478,6496,,21,550461440,2038,0,11,3008,d09a6718-15c2-4fec-b721-388d55aa68f1,,290,6495,RAM3008,,,7713,0,0,12140544,7765,workbench-matmul,9410,10,1024,67,{'n': 5910}
538324992,False,9,,14720,84,5,,22,550461440,142,0,9,2944,777fd317-d99a-4d91-b804-d8737f47e1ff,,20,4,RAM2944,,,42,0,0,12136448,42,workbench-matmul,10,10,1024,4,{'n': 10}
538320896,False,10,,17286144,4030,7944,,21,550461440,847,0,10,2176,dde58d70-d719-4ba9-af8a-d7a84f2161ec,,350,7943,RAM2176,,,718,0,0,12140544,3312,workbench-matmul,9130,10,1024,38,{'n': 5510}
538320896,False,10,,4131840,300,10760,,21,550461440,384,1,11,384,6261133d-08e8-4ef8-a38d-f477e9ce1007,,540,10759,RAM384,,,222,0,failure,12140544,78,workbench-matmul,280,9,1024,100,{'n': 4210}
538320896,False,11,,50045056,15852,16999,,21,550461440,2209,0,11,2944,7e287bc7-2be6-42a4-8312-4eec22ae7ee0,2944,870,16998,RAM2944,16999,2209,7863,0,0,12140544,7989,workbench-matmul,26660,10,1024,75,{'n': 7910}
538320896,False,11,,16636544,27490,5651,,22,550461440,771,0,11,2944,af5271d9-ddca-4f3d-a1ff-bd62d9f8000a,,780,5650,RAM2944,,,16017,0,0,12140544,11473,workbench-matmul,8140,10,1024,26,{'n': 5310}
538320896,False,10,,42794816,15774,14227,,21,550461440,1647,0,10,3008,bc3260c8-385e-4aa9-a353-f29dcd1ff9a9,,660,14226,RAM3008,,,7851,0,0,12140544,7923,workbench-matmul,22850,10,1024,54,{'n': 7510}
538320896,False,10,,6481920,384,4220,,22,550461440,472,0,10,1536,a71eb54f-ee68-4ce2-955d-955cd34d8c32,,240,4219,RAM1536,,,264,0,0,12140544,120,workbench-matmul,3430,10,1024,30,{'n': 3910}
538320896,False,10,,6912512,17996,2348,,21,550461440,661,0,10,2944,aef8ae73-b4ca-4ee7-80f3-c0117cdfe57e,,170,2347,RAM2944,,,7611,0,0,12140544,10385,workbench-matmul,3550,10,1024,22,{'n': 4010}
538320896,False,10,,7836416,15656,4373,,21,550461440,577,0,10,1792,87096bc2-0a00-4968-a153-210dc16f5d6c,,290,4372,RAM1792,,,7767,0,0,12140544,7889,workbench-matmul,4100,10,1024,32,{'n': 4210}
538324992,True,8,,55296,84,72,,22,550461440,118,0,9,768,ca8474db-f165-46d7-a3b1-05907a3e929f,,90,71,RAM768,,,42,1293,0,12136448,42,workbench-matmul,30,10,1024,15,{'n': 510}
538324992,True,8,,2947072,0,5756,,22,550461440,512,1,9,512,5827dde7-7403-4443-8ac8-1e1d0b3f70d0,,1110,5755,RAM512,,,0,1306,failure,12136448,0,workbench-matmul,390,10,1024,100,{'n': 4710}
538320896,False,10,,3810048,15588,2706,,21,550461440,1408,1,10,1408,c9f0da4a-063a-4b65-a0c7-870bc830da38,,840,2705,RAM1408,,,7719,0,failure,12140544,7869,workbench-matmul,900,10,1024,100,{'n': 7710}
538320896,False,11,,13810944,15730,5138,,22,550461440,699,0,11,2688,6cf0bab4-c2e6-49f8-b829-d98ea52e3084,,580,5137,RAM2688,,,7833,0,0,12140544,7897,workbench-matmul,6940,10,1024,26,{'n': 5010}
,,,,,,,,,,,,,,fbb42ef8-726c-4c97-8a18-1947c36a1e95,,,,,,,,,,,,,,,,,{'n': 9610}
538320896,False,10,,7547904,15504,4536,,21,550461440,1664,1,11,1664,2c7aa368-a907-4fb9-a595-f87ff1d4d45d,,2460,4535,RAM1664,,,7677,0,failure,12140544,7827,workbench-matmul,1330,10,1024,100,{'n': 9010}
538320896,False,10,,53762560,15690,21001,,21,550461440,2433,0,10,2560,adf2bfea-5901-4d09-9d9c-aba2f7b52f6e,,700,21000,RAM2560,,,7809,0,0,12140544,7881,workbench-matmul,26380,10,1024,95,{'n': 8410}
538320896,False,10,,15312896,4117,7477,,21,550461440,772,0,10,2048,b6076d2d-e13a-4d3c-bb27-70838405e783,,380,7476,RAM2048,,,760,0,0,12140544,3357,workbench-matmul,7990,10,1024,37,{'n': 5310}
538320896,False,10,,6144,4436,4,,21,550461440,508,0,10,1536,d20dcb20-fb2b-4ed3-8428-d734464251ef,,0,3,RAM1536,,,0,0,0,12140544,4436,workbench-matmul,10,10,1024,33,{'n': 210}
538320896,False,11,,1812480,20678,885,,21,550461440,360,0,11,2048,60dd8a11-63f1-4a11-bf0f-24d961c609fd,,50,884,RAM2048,,,7647,0,0,12140544,13031,workbench-matmul,930,10,1024,17,{'n': 2510}
538320896,False,10,,3904000,468,7625,,21,550461440,513,1,11,512,3c9a90f3-fa1f-4a2c-988d-fa124c43a9d9,,290,7624,RAM512,,,306,0,failure,12140544,162,workbench-matmul,430,10,1024,100,{'n': 8510}
538320896,False,10,,5684224,3732,5551,,21,550461440,655,0,10,1024,cd89dafd-08b3-4b46-a785-5ab651c08ec6,,190,5550,RAM1024,,,496,0,0,12140544,3236,workbench-matmul,3010,10,1024,63,{'n': 3710}
538320896,False,11,,5918976,17922,2202,,21,550461440,722,0,11,2688,1aaff263-dd98-4f99-8492-8300ae021ece,,150,2201,RAM2688,,,7581,0,0,12140544,10341,workbench-matmul,3070,10,1024,26,{'n': 3810}
538320896,False,10,,8572928,5016,2912,,21,550461440,548,0,10,2944,d9dcea2b-b039-4556-a971-3b56e3edd23f,,250,2911,RAM2944,,,496,0,0,12140544,4520,workbench-matmul,4400,10,1024,18,{'n': 4310}
538320896,False,10,,1648384,562,548,,21,550461440,269,0,10,3008,b54eeebb-5020-4b15-b115-f9bad0a76a34,,60,547,RAM3008,,,430,0,0,12140544,132,workbench-matmul,790,10,1024,8,{'n': 2410}
538320896,False,10,,93248,0,31,,20,550461440,269,0,10,3008,51848693-5e40-4521-b3dd-1b532a2f7b21,,0,30,RAM3008,,,0,0,0,12140544,0,workbench-matmul,40,10,1024,8,{'n': 810}
538320896,False,11,,14823424,17339,4928,,21,550461440,793,0,11,3008,63ffc142-6d6b-4d71-9114-57aa664cf4fa,,430,4927,RAM3008,,,8209,0,0,12140544,9130,workbench-matmul,7570,10,1024,26,{'n': 5210}
538324992,True,8,,1548544,0,6049,,22,550461440,256,1,9,256,0e52d062-2fe9-4ea3-bbb3-b54184bf8a0b,,340,6048,RAM256,,,0,1239,failure,12136448,0,workbench-matmul,140,10,1024,100,{'n': 3510}
538320896,False,11,,8669952,15564,3763,,21,550461440,1069,0,11,2304,2dca05d2-14e0-4db2-a1ae-477e93327f90,,150,3762,RAM2304,,,7611,0,0,12140544,7953,workbench-matmul,4150,9,1024,46,{'n': 4410}
538320896,False,10,,7437696,15671,2767,,21,550461440,528,0,10,2688,754f51f0-0bdd-499b-9e88-3b8df7e24330,,210,2766,RAM2688,,,7921,0,0,12140544,7750,workbench-matmul,3860,10,1024,19,{'n': 4110}
538324992,True,9,,41461504,84,19054,1240,22,550461440,1387,0,9,2176,8538f2d3-23be-40c1-85d9-f9fa4d30c4a5,2176,1500,19053,RAM2176,19054,1387,42,1240,0,12136448,42,workbench-matmul,21200,10,1024,63,{'n': 7410}
538320896,False,10,,8201984,300,4577,,21,550461440,582,0,10,1792,028fb169-0b14-4bab-a754-fd906b621a70,,420,4576,RAM1792,,,222,0,0,12140544,78,workbench-matmul,4190,10,1024,32,{'n': 4210}
,,,,,,,,,,,,,,697eae5f-a782-4f76-b2de-a8416a4038cd,,,,,,,,,,,,,,,,,{'n': 8010}
538320896,False,10,,19949696,15692,8203,,21,550461440,1770,0,10,2432,7504a590-2bbd-414e-a2f3-ca874a19b239,,230,8202,RAM2432,,,7809,0,0,12140544,7883,workbench-matmul,9740,10,1024,72,{'n': 5910}
538320896,False,10,,30998528,300,15136,,21,550461440,1123,0,11,2048,c25b51c4-49fc-42be-9b92-b5539d04545b,,430,15135,RAM2048,,,222,0,0,12140544,78,workbench-matmul,15210,9,1024,54,{'n': 6610}
538320896,False,10,,63360,0,45,,21,550461440,639,0,10,1408,2b703715-629d-4697-be17-81ea426b0ed6,,10,44,RAM1408,,,0,0,0,12140544,0,workbench-matmul,30,10,1024,45,{'n': 710}
538320896,False,9,,2557312,84,19979,,21,550461440,104,0,9,128,d755946e-d174-4062-9c76-01bd8ff9ec8e,,60,19978,RAM128,,,42,0,0,12140544,42,workbench-matmul,10,9,1024,81,{'n': 8510}
538324992,True,8,,77184,84,67,,22,550461440,121,0,9,1152,1f8fb173-96cf-42e6-88b2-7611c2bc44c1,,30,66,RAM1152,,,42,1096,0,12136448,42,workbench-matmul,30,10,1024,10,{'n': 610}
538320896,False,10,,11922560,4030,7165,,21,550461440,685,0,11,1664,d6656915-38a1-4dae-8f16-7b0e9e0c240f,,510,7164,RAM1664,,,718,0,0,12140544,3312,workbench-matmul,6360,10,1024,41,{'n': 4810}
538324992,True,9,,33851904,84,22039,,22,550461440,1223,0,9,1536,008e0a83-f4dd-4e71-b1f4-b44ea5d2ff84,,1250,22038,RAM1536,,,42,1278,0,12136448,42,workbench-matmul,17930,9,1024,79,{'n': 6910}
