agent_memory_avg,insights_duration,threads_max,used_memory_max,shutdown_reason,memory_size,request_id,start_time,tmp_free,cpu_user_time,version,agent_memory_max,init_duration,memory_utilisation,tmp_used,billed_mb_ms,shutdown,cold_start,function_name,tx_bytes,duration,rx_bytes,payload,insight_init_duration,fd_max,cpu_system_time,memory_used,total_memory,billed_duration,total_network,tmp_max,fd_use
10,2517,10,72,0,512,a756b17e-e96f-4cc9-99c6-c28415410a6d,1723088147923,538320896,850,RAM512,10,,14,12140544,1289216,0,False,workbench-pyaes,3281,2518,718,"{'length_of_message': 260, 'num_of_iterations': 260}",0,1024,120,72,512,2518,3999,550461440,22
11,7485,10,72,0,1280,24c55499-b248-4c2c-a783-e725179f42c4,1723088155344,538320896,5380,RAM1280,11,,5,12140544,9582080,0,False,workbench-pyaes,7887,7486,7833,"{'length_of_message': 760, 'num_of_iterations': 760}",0,1024,50,72,1280,7486,15720,550461440,22
11,5234,10,73,0,2560,7e99a85a-191a-46b2-81f7-d5d1f7b85030,1723088167921,538320896,5250,RAM2560,11,,2,12140544,13401600,0,False,workbench-pyaes,3321,5235,760,"{'length_of_message': 760, 'num_of_iterations': 760}",0,1024,30,73,2560,5235,4081,550461440,21
9,56,10,70,0,1536,dc1f9b79-de03-4fa7-ae16-357d579229dc,1723088124609,538324992,50,RAM1536,9,,4,12136448,87552,0,False,workbench-pyaes,42,57,42,"{'length_of_message': 60, 'num_of_iterations': 60}",0,1024,20,70,1536,57,84,550461440,22
11,840,10,71,0,1152,21a26d78-84f6-4290-8e92-c26ac8b87199,1723088134377,538320896,370,RAM1152,11,,6,12140544,968832,0,False,workbench-pyaes,3203,841,496,"{'length_of_message': 210, 'num_of_iterations': 210}",0,1024,0,71,1152,841,3699,550461440,21
10,136,10,72,0,2816,ca3a884c-1042-47a5-8c99-cb99771e0e0e,1723088130503,538320896,130,RAM2816,10,,2,12140544,385792,0,False,workbench-pyaes,7091,137,496,"{'length_of_message': 110, 'num_of_iterations': 110}",0,1024,0,72,2816,137,7587,550461440,21
10,6206,10,73,0,1408,e26fea94-81c4-4851-8bab-dc6606e01fbb,1723088151624,538320896,4920,RAM1408,10,,5,12140544,8739456,0,False,workbench-pyaes,3278,6207,718,"{'length_of_message': 710, 'num_of_iterations': 710}",0,1024,40,73,1408,6207,3996,550461440,21
10,470,10,72,0,2688,fd4e93d7-70b6-4e81-8d46-bf047c295e4a,1723088143768,538320896,480,RAM2688,10,,2,12140544,1266048,0,False,workbench-pyaes,10303,471,7581,"{'length_of_message': 210, 'num_of_iterations': 210}",0,1024,10,72,2688,471,17884,550461440,21
9,31036,10,70,0,256,de39829e-e3ab-4c95-b376-92a7e363f356,1723088154752,538324992,4340,RAM256,9,479,27,12136448,7945472,0,True,workbench-pyaes,42,31037,42,"{'length_of_message': 660, 'num_of_iterations': 660}",479,1024,100,70,256,31037,84,550461440,26
10,3583,10,72,0,1152,5ce9caec-b20f-4f27-aa70-4d6049be5aaa,1723088136329,538320896,2120,RAM1152,10,,6,12140544,4128768,0,False,workbench-pyaes,5759,3584,496,"{'length_of_message': 510, 'num_of_iterations': 510}",0,1024,10,72,1152,3584,6255,550461440,21
10,468,10,72,0,2688,26bddecf-2b78-4c8a-a37e-a7e5675ef91f,1723088128018,538320896,470,RAM2688,10,,2,12140544,1260672,0,False,workbench-pyaes,4539,469,496,"{'length_of_message': 210, 'num_of_iterations': 210}",0,1024,0,72,2688,469,5035,550461440,21
11,1937,10,74,0,1920,ba78a436-8d97-46fa-b5e7-528a115fbf36,1723088202767,538320896,1980,RAM1920,11,,3,12140544,3720960,0,False,workbench-pyaes,7929,1938,7941,"{'length_of_message': 460, 'num_of_iterations': 460}",0,1024,70,74,1920,1938,15870,550461440,21
,,,,,512,00ecee74-ec14-435e-b0ed-a1b25345571c,1723088181287,,,,,,,,,,,,,5588,,"{'length_of_message': 410, 'num_of_iterations': 410}",,,,72,,,,,
8,6,10,70,0,3008,9bb89ce9-dd16-4bae-9db9-8912065cdf69,1723088125985,538324992,20,RAM3008,9,398,2,12136448,21056,0,True,workbench-pyaes,42,7,42,"{'length_of_message': 10, 'num_of_iterations': 10}",398,1024,30,70,3008,7,84,550461440,22
11,961,10,71,0,896,878e47c9-173c-4ea9-be16-462e2e80cbbb,1723088126060,538320896,480,RAM896,11,,7,12140544,861952,0,False,workbench-pyaes,8359,962,1517,"{'length_of_message': 210, 'num_of_iterations': 210}",0,1024,0,71,896,962,9876,550461440,22
11,665,10,72,0,1920,f02003b1-34f8-4438-a955-c49ab7dd04a6,1723088150331,538320896,670,RAM1920,11,,3,12140544,1278720,0,False,workbench-pyaes,10381,666,7581,"{'length_of_message': 260, 'num_of_iterations': 260}",0,1024,10,72,1920,666,17962,550461440,21
11,5,10,71,0,1792,01ac49c5-6f65-444d-aa90-57a50a8c38b6,1723088127801,538320896,10,RAM1792,11,,3,12140544,10752,0,False,workbench-pyaes,78,6,730,"{'length_of_message': 10, 'num_of_iterations': 10}",0,1024,0,71,1792,6,808,550461440,21
11,19301,10,71,0,128,6ff370a5-b9bb-48e4-8de2-4de449ee9344,1723088164529,538320896,1170,RAM128,11,,55,12140544,2470656,0,False,workbench-pyaes,7893,19302,7881,"{'length_of_message': 360, 'num_of_iterations': 360}",0,1024,0,71,128,19302,15774,550461440,22
11,2876,10,74,0,2944,4dd77b79-5d73-4754-88e7-ad35b7217bba,1723088248403,538320896,2890,RAM2944,11,,2,12140544,8469888,0,False,workbench-pyaes,7933,2877,7941,"{'length_of_message': 560, 'num_of_iterations': 560}",0,1024,60,74,2944,2877,15874,550461440,21
10,2972,11,74,0,2176,4e500580-298c-45ae-997a-fcd204320e21,1723088205715,538320896,2960,RAM2176,10,,3,12140544,6469248,0,False,workbench-pyaes,7759,2973,7779,"{'length_of_message': 610, 'num_of_iterations': 610}",0,1024,20,74,2176,2973,15538,550461440,21
8,48,10,70,0,2432,e7335f03-ca2c-4a23-91c8-dcce1e96cab6,1723088125833,538324992,40,RAM2432,9,464,2,12136448,119168,0,True,workbench-pyaes,0,49,0,"{'length_of_message': 60, 'num_of_iterations': 60}",464,1024,20,70,2432,49,0,550461440,22
11,5938,9,73,0,2560,e65e9726-2756-4926-928a-43086197034e,1723088172691,538320896,5930,RAM2560,11,,2,12140544,15203840,0,False,workbench-pyaes,3279,5939,718,"{'length_of_message': 810, 'num_of_iterations': 810}",0,1024,50,73,2560,5939,3997,550461440,21
,,,,,128,dad3fe30-20bc-4604-8236-328dd6675605,1723088412372,,,,,,,,,,,,,103912,,,,,,73,,,,,
10,2201,10,71,0,128,61549f3e-2018-4685-b516-abdbd2afddd9,1723088131032,538320896,160,RAM128,10,,55,12140544,281856,0,False,workbench-pyaes,8479,2202,2359,"{'length_of_message': 110, 'num_of_iterations': 110}",0,1024,0,71,128,2202,10838,550461440,22
10,50,10,71,0,1920,cbf00ab7-c94e-4e3a-900d-6bcb9072cd3a,1723088128043,538320896,60,RAM1920,10,,3,12140544,97920,0,False,workbench-pyaes,7721,51,992,"{'length_of_message': 60, 'num_of_iterations': 60}",0,1024,10,71,1920,51,8713,550461440,21
10,6849,10,74,0,2688,b00e8e2b-bcf0-4117-a1d2-bf4af1ade329,1723088180547,538320896,6860,RAM2688,10,,2,12140544,18412800,0,False,workbench-pyaes,3322,6850,760,"{'length_of_message': 860, 'num_of_iterations': 860}",0,1024,50,74,2688,6850,4082,550461440,21
11,457,10,72,0,1792,06455e9c-1517-4cc6-81a8-343248d803fc,1723088135098,538320896,460,RAM1792,11,,4,12140544,820736,0,False,workbench-pyaes,15485,458,7449,"{'length_of_message': 210, 'num_of_iterations': 210}",0,1024,0,72,1792,458,22934,550461440,21
9,170,10,70,0,512,7f1db23f-c599-48ad-a262-0a65727b2109,1723088126669,538320896,70,RAM512,9,,13,12140544,87552,0,False,workbench-pyaes,186,171,0,"{'length_of_message': 60, 'num_of_iterations': 60}",0,1024,30,70,512,171,186,550461440,22
10,12623,10,72,0,1024,1529a8ae-560c-46d7-8d7e-73332279f97e,1723088156555,538320896,7330,RAM1024,10,,7,12140544,12926976,0,False,workbench-pyaes,11286,12624,15975,"{'length_of_message': 860, 'num_of_iterations': 860}",0,1024,170,72,1024,12624,27261,550461440,21
11,2245,9,71,0,1024,69c309a9-fa5d-4d8f-a51f-21a0fcb83b3e,1723088129544,538320896,1280,RAM1024,11,,6,12140544,2299904,0,False,workbench-pyaes,3258,2246,496,"{'length_of_message': 360, 'num_of_iterations': 360}",0,1024,30,71,1024,2246,3754,550461440,21
