fd_max,insights_duration,shutdown_reason,used_memory_max,total_network,cpu_system_time,tx_bytes,insight_init_duration,tmp_max,init_duration,payload,request_id,fd_use,agent_memory_max,function_name,cold_start,version,start_time,total_memory,tmp_free,tmp_used,rx_bytes,agent_memory_avg,duration,billed_mb_ms,memory_used,memory_size,billed_duration,shutdown,threads_max,memory_utilisation,cpu_user_time
1024.0,6.0,0,73.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 7610},61d9914b-fe38-4699-b8e1-1aa91cc01664,19.0,10.0,sebs-floatOperation,False,RAM640,1722578906279,640.0,538320896.0,12140544.0,0.0,10.0,7,4480.0,73,640,7.0,0.0,10.0,11.0,20.0
1024.0,11.0,0,74.0,14317.0,0.0,5751.0,0.0,550461440.0,,{'n': 7110},32340ac5-d2f6-426d-a962-4eb070e24828,20.0,9.0,sebs-floatOperation,False,RAM1024,1722578907321,1024.0,538320896.0,12140544.0,8566.0,9.0,12,12288.0,74,1024,12.0,0.0,10.0,7.0,0.0
1024.0,7.0,0,74.0,5146.0,0.0,4584.0,0.0,550461440.0,,{'n': 8310},c4ca8b3e-2a8d-43b3-bdee-266a030aa538,20.0,11.0,sebs-floatOperation,False,RAM2048,1722578906838,2048.0,538320896.0,12140544.0,562.0,11.0,8,16384.0,74,2048,8.0,0.0,10.0,3.0,10.0
1024.0,5.0,0,73.0,10280.0,0.0,3705.0,0.0,550461440.0,,{'n': 4210},79f4b424-fc24-45ce-a415-2e17373a8743,20.0,9.0,sebs-floatOperation,False,RAM2944,1722578904564,2944.0,538320896.0,12140544.0,6575.0,9.0,6,17664.0,73,2944,6.0,0.0,9.0,2.0,20.0
1024.0,5.0,0,74.0,0.0,0.0,0.0,0.0,550461440.0,,{'n': 5510},a08dd34b-aa21-4066-bb6f-811c6f5a8551,20.0,10.0,sebs-floatOperation,False,RAM1792,1722578907188,1792.0,538320896.0,12140544.0,0.0,10.0,6,10752.0,74,1792,6.0,0.0,9.0,4.0,0.0
1024.0,16.0,0,73.0,0.0,10.0,0.0,0.0,550461440.0,,{'n': 2410},b60b39ba-8212-4090-a6b1-09171a92839a,19.0,10.0,sebs-floatOperation,False,RAM384,1722578904763,384.0,538320896.0,12140544.0,0.0,10.0,17,6528.0,73,384,17.0,0.0,10.0,19.0,0.0
1024.0,5.0,0,74.0,12885.0,10.0,11659.0,0.0,550461440.0,,{'n': 5210},b5532c31-7e20-470c-b98f-543286da17a7,20.0,9.0,sebs-floatOperation,False,RAM1664,1722578906309,1664.0,538320896.0,12140544.0,1226.0,9.0,6,9984.0,74,1664,6.0,0.0,10.0,4.0,10.0
1024.0,32.0,0,73.0,0.0,10.0,0.0,0.0,550461440.0,,{'n': 1110},67c93ae8-f849-4c76-a710-5f1885ffd22a,20.0,10.0,sebs-floatOperation,False,RAM256,1722578903949,256.0,538320896.0,12140544.0,0.0,10.0,33,8448.0,73,256,33.0,0.0,10.0,28.0,0.0
1024.0,3.0,0,72.0,616.0,0.0,186.0,0.0,550461440.0,,{'n': 310},1ec9a5c4-7b5d-42fa-a858-7ad05a1c885d,20.0,9.0,sebs-floatOperation,False,RAM2944,1722578904532,2944.0,538324992.0,12136448.0,430.0,9.0,4,11776.0,72,2944,4.0,0.0,10.0,2.0,0.0
1024.0,6.0,0,74.0,8709.0,10.0,1197.0,0.0,550461440.0,,{'n': 6610},c73b8729-0eec-4c26-8df0-7b96a887326a,20.0,11.0,sebs-floatOperation,False,RAM2816,1722578906778,2816.0,538320896.0,12140544.0,7512.0,11.0,7,19712.0,74,2816,7.0,0.0,9.0,2.0,10.0
