version,total_memory,tmp_max,cpu_user_time,fd_use,tmp_used,rx_bytes,request_id,payload,insights_duration,shutdown,duration,threads_max,init_duration,agent_memory_max,agent_memory_avg,total_network,billed_duration,function_error,cold_start,insight_init_duration,billed_mb_ms,fd_max,memory_used,memory_size,memory_utilisation,shutdown_reason,cpu_system_time,start_time,tmp_free,function_name,tx_bytes,used_memory_max
RAM1536,1536,550461440,25780,21,12144640,264,eb0a69f7-1dc6-455b-b55d-4e8e4972b4a5,{'n': 7810},31738,0,31739,9,,9,9,384,31739,,False,0,48751104,1024,1522,1536,99,0,660,1722319087944,538316800,workbench-matmul,120,1522
RAM3008,3008,550461440,730,21,12140544,354,8695f06f-cd31-4020-a402-04578c3eea85,{'n': 2310},501,0,502,10,,10,10,6232,502,,False,0,1510016,1024,614,3008,20,0,130,1722318955747,538320896,workbench-matmul,5878,614
RAM384,384,550461440,20,22,12136448,42,bca7baa8-64d4-4467-922a-2f84a3f2142d,{'n': 210},61,0,62,10,1283,9,8,84,62,,True,1283,23808,1024,111,384,28,0,60,1722314530180,538324992,workbench-matmul,42,111
RAM768,768,550461440,4300,21,12140544,1214,52517476-6809-4b45-916f-d93ab43850fd,{'n': 4210},10644,0,10645,10,,10,10,7687,10645,,False,0,8175360,1024,550,768,71,0,220,1722318951006,538320896,workbench-matmul,6473,550
RAM2048,2048,550461440,820,21,12140544,384,da247b2f-ab8d-4f30-9dc1-28e9ddd686b2,{'n': 2410},770,0,771,10,,10,10,3698,771,,False,0,1579008,1024,635,2048,31,0,60,1722318955707,538320896,workbench-matmul,3314,635
RAM1024,1024,550461440,700,21,12140544,0,719d354c-6df8-4314-b929-6c4cbd0a9df1,{'n': 9110},4988,1,4989,9,,10,10,0,4989,Runtime exited with error: signal: killed,False,0,5108736,1024,1024,1024,100,failure,240,1722319143029,538320896,workbench-matmul,0,1024
RAM640,640,550461440,580,21,12140544,222,38a1bb44-6b28-4807-b80b-aed5672f399f,{'n': 6210},8409,1,8410,10,,10,10,300,8410,Runtime exited with error: signal: killed,False,0,5382400,1024,640,640,100,failure,940,1722318961545,538320896,workbench-matmul,78,640
RAM384,384,550461440,20,21,12140544,496,ed64706c-0525-4baf-a735-25ea6d6ee4fa,{'n': 310},18,0,19,10,,10,10,3703,19,,False,0,7296,1024,384,384,100,0,10,1722318940844,538320896,workbench-matmul,3207,384
RAM2048,2048,550461440,36630,21,12140544,7833,be73c53d-a035-4890-826b-d9c30f70767e,{'n': 8810},33781,0,33782,10,,10,10,15752,33782,,False,0,69185536,1024,1915,2048,93,0,1390,1722319031532,538320896,workbench-matmul,7919,1915
RAM2176,2176,550461440,2250,21,12140544,222,dacd7260-c57a-48cf-bca8-d282c0957869,{'n': 3710},3044,0,3045,10,,10,10,300,3045,,False,0,6625920,1024,580,2176,26,0,70,1722318954314,538320896,workbench-matmul,78,580
RAM2304,2304,550461440,9000,21,12140544,802,008307f3-a545-4669-bd8c-34ef12b4e315,{'n': 5510},7425,0,7426,10,,11,11,4177,7426,,False,0,17109504,1024,821,2304,35,0,440,1722318984670,538320896,workbench-matmul,3375,821
RAM896,896,550461440,340,22,12140544,183419,9984e239-d347-4eaa-9787-5b2a2e03e3a4,{'n': 1710},885,0,886,10,,10,10,277080,886,,False,0,793856,1024,187,896,20,0,70,1722318923872,538320896,workbench-matmul,93661,187
RAM768,768,550461440,40,22,12140544,6917,5f63e53e-4c21-40e2-b59f-3332cf183a17,{'n': 810},103,0,104,10,,10,10,11326,104,,False,0,79872,1024,389,768,50,0,0,1722318943325,538320896,workbench-matmul,4409,389
RAM2432,2432,550461440,19130,21,12140544,7833,37249177-2048-486b-bf32-b1af3a641212,{'n': 7110},14762,0,14763,10,,11,11,15756,14763,,False,0,35903616,1024,1715,2432,70,0,820,1722319081210,538320896,workbench-matmul,7923,1715
RAM1024,1024,550461440,2370,21,12140544,7941,a0d90c04-d92a-4f18-901b-ae5f005620b0,{'n': 3410},4564,0,4565,10,,11,11,15760,4565,,False,0,4674560,1024,389,1024,37,0,240,1722318957023,538320896,workbench-matmul,7819,389
RAM2304,2304,550461440,17750,21,12140544,7821,c277737f-aeb0-4758-aa0f-b2325cb11f8e,{'n': 6910},14427,0,14428,10,,11,11,15782,14428,,False,0,33242112,1024,1222,2304,53,0,720,1722319010661,538320896,workbench-matmul,7961,1222
RAM1152,1152,550461440,4410,21,12140544,760,f8b61a26-ff6c-45e2-bc81-3c80936c2431,{'n': 4210},7168,0,7169,10,,11,11,5375,7169,,False,0,8258688,1024,654,1152,56,0,240,1722318961416,538320896,workbench-matmul,4615,654
RAM2944,2944,550461440,1720,21,12140544,496,13b88cf9-b8d6-4484-b823-7d906454be5f,{'n': 3310},1273,0,1274,10,,11,11,3705,1274,,False,0,3750656,1024,616,2944,20,0,120,1722318974276,538320896,workbench-matmul,3209,616
RAM640,640,550461440,220,22,12140544,15777,7a23dbf6-64ee-4faa-84a0-a9e15104d62c,{'n': 1610},836,0,837,10,,10,10,27100,837,,False,0,535680,1024,420,640,65,0,40,1722318948216,538320896,workbench-matmul,11323,420
RAM384,384,550461440,270,21,12140544,7677,cea39163-839c-4b64-a41c-471ce433c1be,{'n': 4510},4671,1,4672,10,,11,10,15434,4672,Runtime exited with error: signal: killed,False,0,1794048,1024,384,384,100,failure,290,1722318943590,538320896,workbench-matmul,7757,384
RAM2176,2176,550461440,28210,22,12140544,16017,380e59f7-5291-4252-bd89-5d35ff038c41,{'n': 8110},25059,0,25060,10,,11,10,27416,25060,,False,0,54530560,1024,1641,2176,75,0,1730,1722319018075,538320896,workbench-matmul,11399,1641
